Name,Mid X,Mid Y,Layer,Rotation
D3,386.4,299.7,Top,0
CONN1,373.75,292.35,Top,90
CONN2,424.75,271.35,Top,0
C50,454.9,275.4,Top,0
J4,496.48,268.3,Top,90
J9,390.9,311.63,Top,0
J6,603.63,236.82,Top,90
IC1,569.5,290.1,Top,180
C1,543.5,226.3,Top,0
C2,556.9,226.3,Top,180
C3,577,226.4,Top,180
C4,420.6,281.8,Top,0
C5,570.2,226.2,Top,180
C6,500.9,303.8,Top,0
C7,500.9,307.3,Top,0
C8,550,226.3,Top,180
C9,532.3,256,Top,0
C10,563.5,226.4,Top,180
C11,543.6,236.7,Top,180
C12,570.1,236.6,Top,0
C13,577,236.7,Top,0
C19,473.9,223.3,Top,0
C20,477.7,213.7,Top,0
C24,491.7,277.2,Top,0
C27,556.97,236.51,Top,180
C28,563.6,236.6,Top,180
C31,506.1,293.2,Top,0
C34,513.2,291.8,Top,0
C35,513.2,288.9,Top,0
C36,532.3,236.6,Top,0
C37,513.3,282.2,Top,180
C38,513.4,275.8,Top,0
C39,505.4,252.65,Top,180
C46,601.3,198.5,Top,180
C47,607.4,198.8,Top,180
C51,399.8,319.9,Top,0
C54,582.2,288.3,Top,0
C55,577.1,297,Top,180
C56,564.6,313.5,Top,0
C57,620.9,199,Top,180
C58,441.3,280.4,Top,0
C59,613.9,199,Top,180
C60,524,268.1,Top,0
C61,441.2,265.8,Top,0
C62,441.2,272.9,Top,0
C63,549.7,236.7,Top,180
C64,453.52,299.55,Top,0
C65,453.6,292,Top,0
C66,564.4,296.1,Top,0
C67,551.8,293.4,Top,180
C68,618.1,185.3,Top,0
C14,435.73,295.68,Top,0
C16,423.4,303.7,Top,180
C17,411,293.6,Top,0
C21,484.5,230.1,Top,0
C22,489.8,222.2,Top,0
C23,488.1,216.2,Top,0
C25,497.8,208.5,Top,0
C26,498.2,289.2,Top,0
C29,499,251.5,Top,180
C30,506.1,297.2,Top,0
C33,504.3,208.5,Top,0
C40,513.1,221.9,Top,0
C45,521.9,293.9,Top,0
C49,540.9,309.5,Top,0
C52,412.8,319.8,Top,0
IC2,423.55,293.37,Top,0
LED1,514.45,239.9,Top,270
LED2,514.6,236.6,Top,270
LED3,453.4,304.6,Top,270
LED4,453.4,308.8,Top,270
LED5,453.3,312.5,Top,270
LED6,453.3,316.3,Top,270
L1,420.5,278.9,Top,0
L2,488.1,213.6,Top,180
SWPROG1,476.14,240.2,Top,0
DCDC1,571.23,305.68,Top,0
TR1,489.58,191.13,Top,90
TR2,494.03,191.2,Top,90
TR3,498.48,191.13,Top,90
TR4,502.92,191.13,Top,90
TR5,507.37,191.13,Top,90
TR6,511.1,254.8,Top,90
TR7,511.81,191.13,Top,90
IC8,529.4,289.1,Top,0
L3,529.7,304.5,Top,0
IC6,580.5,270.6,Top,90
IC7,591.42,270.6,Top,90
IC9,551.8,289,Top,0
R1,543.5,219.8,Top,0
R2,543.5,223.1,Top,180
R3,557,223.2,Top,0
R4,557.1,219.9,Top,0
R5,577,223.1,Top,0
R6,577,219.7,Top,0
R7,570.2,223,Top,0
R8,570.2,219.7,Top,0
R9,550,223.1,Top,0
R10,550,219.9,Top,0
R11,563.5,223.2,Top,0
R12,563.6,219.7,Top,0
R14,543.7,233.5,Top,0
R15,570.1,230,Top,0
R16,570.1,233.5,Top,180
R17,577,230,Top,0
R18,577,233.4,Top,180
R19,496.2,303.8,Top,180
R20,543.6,230.2,Top,0
R21,604.4,267.8,Top,0
R22,604.5,271.2,Top,180
R23,613,267.6,Top,0
R24,613,271,Top,180
R28,557.7,287.1,Top,180
R29,557,230.1,Top,0
R30,563.7,230.1,Top,0
R31,557,233.41,Top,0
R32,563.7,233.5,Top,0
R33,427.6,279.2,Top,0
R34,465,198.8,Top,0
R35,465.1,195.3,Top,0
R36,465.1,191.5,Top,0
R37,465,179.8,Top,0
R38,505.4,255.9,Top,0
R39,465,183.3,Top,0
R40,543.7,243.9,Top,180
R41,601.3,192,Top,0
